Lat,Lon,Alt (m)
77.77319854,-83.52589497,235
77.77319854,-82.62757969,578
77.77319854,-81.72926441,315
77.77319854,-80.83094912,1466
77.77319854,-79.93263384,1022
77.77319854,-79.03431855,736
77.77319854,-78.13600327,215
77.58148686,-112.2719841,59
77.58148686,-111.3736688,48
77.58148686,-110.4753535,19
77.58148686,-96.10230895,33
77.58148686,-95.20399367,113
77.58148686,-94.30567838,96
77.58148686,-90.71241725,26
77.58148686,-87.11915611,125
77.58148686,-86.22084083,279
77.58148686,-85.32252554,140
77.58148686,-84.42421026,80
77.58148686,-83.52589497,72
77.58148686,-82.62757969,349
77.58148686,-80.83094912,1109
77.58148686,-79.93263384,715
77.58148686,-79.03431855,467
77.58148686,-78.13600327,184
77.38681716,-115.8652452,22
77.38681716,-112.2719841,8
77.38681716,-105.0854618,26
77.38681716,-90.71241725,60
77.38681716,-89.81410196,65
77.38681716,-87.11915611,166
77.38681716,-86.22084083,122
77.38681716,-85.32252554,43
77.38681716,-84.42421026,15
77.38681716,-82.62757969,248
77.38681716,-81.72926441,421
77.38681716,-80.83094912,472
77.38681716,-79.93263384,1122
77.38681716,-79.03431855,757
77.18914609,-118.5601911,37
77.18914609,-117.6618758,39
77.18914609,-116.7635605,46
77.18914609,-105.0854618,29
77.18914609,-95.20399367,8
77.18914609,-90.71241725,0
77.18914609,-86.22084083,287
77.18914609,-85.32252554,226
77.18914609,-84.42421026,233
77.18914609,-83.52589497,429
77.18914609,-82.62757969,569
77.18914609,-80.83094912,606
77.18914609,-79.93263384,326
76.98842976,-119.4585063,33
76.98842976,-118.5601911,69
76.98842976,-117.6618758,85
76.98842976,-116.7635605,51
76.98842976,-115.8652452,2
76.98842976,-96.10230895,138
76.98842976,-95.20399367,36
76.98842976,-88.01747139,223
76.98842976,-87.11915611,359
