Lat,Lon,Month,Year,isoP
49.67,-93.72,5,2004,-14.61300448
49.67,-93.72,6,2004,-12.12287064
49.67,-93.72,7,2004,-10.63547133
49.67,-93.72,8,2004,-11.92277867
49.67,-93.72,9,2004,-8.224188143
49.67,-93.72,10,2004,-14.48201645
49.67,-93.72,11,2004,-16.80742254
49.67,-93.72,12,2004,-22.33745219
49.67,-93.72,1,2005,-23.31493645
49.67,-93.72,2,2005,-21.61141093
49.67,-93.72,3,2005,-17.23406758
49.67,-93.72,4,2005,-15.17934123
49.67,-93.72,5,2005,-14.4187044
49.67,-93.72,6,2005,-9.205690089
49.67,-93.72,7,2005,-8.91101597
49.67,-93.72,8,2005,-10.09837907
49.67,-93.72,9,2005,-8.80034652
49.67,-93.72,10,2005,-12.85210853
49.67,-93.72,11,2005,-18.51857756
49.67,-93.72,12,2005,-21.60848139
49.67,-93.72,1,2006,-21.26290733
49.67,-93.72,2,2006,-26.14066698
49.67,-93.72,3,2006,-14.62862423
49.67,-93.72,4,2006,-18.6913514
49.67,-93.72,5,2006,-13.52790812
49.67,-93.72,6,2006,-10.3352543
49.67,-93.72,7,2006,-9.290745292
49.67,-93.72,8,2006,-9.485389468
49.67,-93.72,9,2006,-11.08930279
49.67,-93.72,10,2006,-15.72278304
49.67,-93.72,11,2006,-18.47040273
49.67,-93.72,12,2006,-20.88174543
49.67,-93.72,1,2007,-23.49116742
49.67,-93.72,2,2007,-23.71082867
49.67,-93.72,3,2007,-17.26275504
49.67,-93.72,4,2007,-17.42033245
49.67,-93.72,5,2007,-14.72293538
49.67,-93.72,6,2007,-10.82233947
49.67,-93.72,7,2007,-9.758401279
49.67,-93.72,8,2007,-10.08841267
49.67,-93.72,9,2007,-10.5927369
49.67,-93.72,10,2007,-12.61697597
49.67,-93.72,11,2007,-19.81209041
49.67,-93.72,12,2007,-24.19005972
49.38,-82.12,1,2003,-25.37824153
49.38,-82.12,2,2003,-23.98803612
49.38,-82.12,3,2003,-17.9249171
49.38,-82.12,4,2003,-18.93950157
49.38,-82.12,5,2003,-10.55253533
49.38,-82.12,6,2003,-10.12985821
49.38,-82.12,7,2003,-10.4783593
49.38,-82.12,8,2003,-9.997659657
49.38,-82.12,9,2003,-11.8614887
49.38,-82.12,10,2003,-15.57184225
49.38,-82.12,11,2003,-17.52573781
49.38,-82.12,12,2003,-19.56412408
49.38,-82.12,1,2004,-26.72698404
49.38,-82.12,2,2004,-20.0595489
49.38,-82.12,3,2004,-19.2816872
49.38,-82.12,4,2004,-14.82107299
49.38,-82.12,5,2004,-14.55665357
49.38,-82.12,6,2004,-11.76424011
49.38,-82.12,7,2004,-9.836091775
49.38,-82.12,8,2004,-11.19120302
49.38,-82.12,9,2004,-9.786794558
49.38,-82.12,10,2004,-13.08491001
49.38,-82.12,11,2004,-17.18742657
49.38,-82.12,12,2004,-22.23211587
49.38,-82.12,1,2005,-22.86633074
49.38,-82.12,2,2005,-20.30806313
49.38,-82.12,3,2005,-17.50403337
49.38,-82.12,4,2005,-14.39149056
49.38,-82.12,5,2005,-14.19035559
49.38,-82.12,6,2005,-8.547632134
49.38,-82.12,7,2005,-8.365145105
49.38,-82.12,8,2005,-8.844621996
49.38,-82.12,9,2005,-10.12841551
49.38,-82.12,10,2005,-11.33480173
49.38,-82.12,11,2005,-17.39738172
49.38,-82.12,12,2005,-21.78369011
49.38,-82.12,1,2006,-20.05240885
49.38,-82.12,2,2006,-23.17391756
49.38,-82.12,3,2006,-14.15361239
49.38,-82.12,4,2006,-16.74966301
49.38,-82.12,5,2006,-12.68567204
49.38,-82.12,6,2006,-10.08821169
49.38,-82.12,7,2006,-8.873982302
49.38,-82.12,8,2006,-9.706965969
49.38,-82.12,9,2006,-11.28354983
49.38,-82.12,10,2006,-14.07279021
49.38,-82.12,11,2006,-15.62986094
49.38,-82.12,12,2006,-18.33829281
49.38,-82.12,1,2007,-21.03641377
49.38,-82.12,2,2007,-26.09907017
49.38,-82.12,3,2007,-15.35771969
49.38,-82.12,4,2007,-21.61066889
49.38,-82.12,5,2007,-13.06054428
49.38,-82.12,6,2007,-9.116580874
49.38,-82.12,7,2007,-9.783724699
49.38,-82.12,8,2007,-9.510935967
49.38,-82.12,9,2007,-10.60785114
49.38,-82.12,10,2007,-11.10436617
49.38,-82.12,11,2007,-19.27533984
49.38,-82.12,12,2007,-21.22719875
47.98,-55.82,1,2003,-14.36197444
47.98,-55.82,2,2003,-12.45172659
47.98,-55.82,3,2003,-11.20121719
47.98,-55.82,4,2003,-11.15188089
